norm_text,label,freq,cum_freq,cum_pct,rank,bucket
namoh,GPE,1,2569,0.9483204134366925,1274,tail
"the 4th of april, 1843",DATE,1,2570,0.9486895533407161,1275,tail
the autumn of this year,DATE,1,2571,0.9490586932447398,1276,tail
the apostle paul,PERSON,1,2572,0.9494278331487633,1277,tail
the anglo-oriental society for the suppression of the opium trade,ORG,1,2573,0.949796973052787,1278,tail
the bengal board of trade,ORG,1,2574,0.9501661129568106,1279,tail
the 7th of july,DATE,1,2575,0.9505352528608343,1280,tail
the 7th of april,DATE,1,2576,0.9509043927648578,1281,tail
the 3rd,DATE,1,2577,0.9512735326688815,1282,tail
the,LOC,1,2578,0.9516426725729051,1283,tail
the 31st,DATE,1,2579,0.9520118124769288,1284,tail
"the 30th january, 1837",DATE,1,2580,0.9523809523809523,1285,tail
the 2nd day of the 9th moon,DATE,1,2581,0.952750092284976,1286,tail
the 27th of september,DATE,1,2582,0.9531192321889996,1287,tail
the 25th,DATE,1,2583,0.9534883720930233,1288,tail
the 24th day of october,DATE,1,2584,0.9538575119970469,1289,tail
the,WORK_OF_ART,1,2585,0.9542266519010705,1290,tail
states,GPE,1,2586,0.9545957918050941,1291,tail
tai-pings,NORP,1,2587,0.9549649317091178,1292,tail
the chamber of commerce,ORG,1,2588,0.9553340716131414,1293,tail
the british government,ORG,1,2589,0.955703211517165,1294,tail
sze-chuen,GPE,1,2590,0.9560723514211886,1295,tail
the canton river,LOC,1,2591,0.9564414913252123,1296,tail
the celestial empire,GPE,1,2592,0.9568106312292359,1297,tail
swatow,GPE,1,2593,0.9571797711332595,1298,tail
supreme court,ORG,1,2594,0.9575489110372831,1299,tail
sunda,PRODUCT,1,2595,0.9579180509413068,1300,tail
"the board of customs,",ORG,1,2596,0.9582871908453304,1301,tail
the chi- nese,NORP,1,2597,0.958656330749354,1302,tail
suez,ORG,1,2598,0.9590254706533776,1303,tail
the china war,EVENT,1,2599,0.9593946105574013,1304,tail
straits,LOC,1,2600,0.9597637504614249,1305,tail
station,FAC,1,2601,0.9601328903654485,1306,tail
the chinese coast,LOC,1,2602,0.9605020302694721,1307,tail
the 24th,DATE,1,2603,0.9608711701734958,1308,tail
"the 21st of may, 1839",DATE,1,2604,0.9612403100775194,1309,tail
the board of commerce,ORG,1,2605,0.961609449981543,1310,tail
shansi,GPE,1,2606,0.9619785898855666,1311,tail
the fan kwae,ORG,1,2607,0.9623477297895903,1312,tail
shensi,GPE,1,2608,0.9627168696936139,1313,tail
the first fifteen years,DATE,1,2609,0.9630860095976375,1314,tail
"the first of july, 1825",DATE,1,2610,0.9634551495016611,1315,tail
shen-si,GPE,1,2611,0.9638242894056848,1316,tail
shantung,GPE,1,2612,0.9641934293097084,1317,tail
the first war between england and china,EVENT,1,2613,0.964562569213732,1318,tail
the 20th.,DATE,1,2614,0.9649317091177556,1319,tail
shangllat,GPE,1,2615,0.9653008490217793,1320,tail
the first war with england,EVENT,1,2616,0.9656699889258029,1321,tail
the following year,DATE,1,2617,0.9660391288298265,1322,tail
shan-si,GPE,1,2618,0.9664082687338501,1323,tail
the friend of china,WORK_OF_ART,1,2619,0.9667774086378738,1324,tail
